DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-11-16,13:00,AFC Leopards,Muranga SEAL,55,28,17,71,29,34,66,BCL
2025-11-16,01:00,Irapuato,Mineros de Zacatecas,47,26,27,63,37,39,61,BCL
2025-11-16,23:00,Cancún,Monarcas,54,23,23,62,38,40,60,BCL
2025-11-16,00:00,Tapachula,Cañoneros Marina,46,23,31,63,37,39,61,BCL
2025-11-16,01:00,Gavilanes FC Matamoros,Cordobés,54,24,22,57,43,40,60,BCL
2025-11-16,01:00,Celaya,Montañeses,48,25,27,63,37,39,61,BCL
2025-11-16,03:00,Los Cabos United,Tritons Vallarta,51,24,25,63,37,39,61,BCL
2025-11-16,13:00,Igalo,Rudar,28,25,47,43,57,55,45,BCL
2025-11-16,13:00,Lovćen,Berane,30,37,33,62,38,54,46,BCL
2025-11-16,13:00,Kom,Grbalj,47,26,27,43,57,55,45,BCL
2025-11-16,13:00,Mladost Lješkopolje,Internacional Podgorica,58,24,18,54,46,40,60,BCL
2025-11-16,13:00,Iskra,Otrant-Olympic,21,24,55,64,36,38,62,BCL
2025-11-16,14:00,Riadi Salmi,Widad Témara,46,30,24,68,32,42,58,BCL
2025-11-16,17:00,Mouloudia Oujda,Chabab Atl. Khenifra,49,31,20,76,24,33,67,BCL
2025-11-16,01:00,Walter Ferretti,Jalapa,50,27,23,47,53,59,41,BCL
2025-11-16,15:00,Ikorodu City,Plateau United,62,26,12,71,29,32,68,BCL
2025-11-16,15:00,Niger Tornadoes,Katsina United,60,27,13,71,29,33,67,BCL
2025-11-16,15:00,Bayelsa United,Abia Warriors,49,30,21,73,27,36,64,BCL
2025-11-16,21:00,2 de Mayo,General Caballero,43,32,25,69,31,40,60,BCL
2025-11-16,20:00,Sport Boys,Alianza Atletico,44,29,27,61,39,43,57,BCL
2025-11-16,18:00,UCV Moquegua,Cesar Vallejo,42,27,31,61,39,38,62,BCL
2025-11-16,11:00,Podhale Nowy Targ,Podbeskidzie,55,24,21,43,57,57,43,BCL
2025-11-16,11:00,Śląsk Wrocław II,Jastrzębie,65,20,15,37,63,59,41,BCL
2025-11-16,12:00,Rekord Bielsko-Biała,Chojniczanka Chojnice,29,37,34,42,58,61,39,BCL
2025-11-16,15:00,Unia Skierniewice,Kalisz,60,24,16,42,58,59,41,BCL
2025-11-16,18:30,Resovia Rzeszów,Warta Poznań,44,25,31,46,54,57,43,BCL
2025-11-16,11:00,Felgueiras 1932,SC Farense,43,27,30,41,59,53,47,BCL
2025-11-16,18:00,Leixoes,Chaves,28,27,45,40,60,53,47,BCL
2025-11-16,10:00,FK Sokol Saratov,Fakel,19,28,53,73,27,34,66,BCL
2025-11-16,11:00,FC UFA,Arsenal Tula,31,35,34,62,38,44,56,BCL
2025-11-16,12:00,Chelyabinsk,KAMAZ,40,30,30,69,31,40,60,BCL
2025-11-16,14:30,Shinnik Yaroslavl,Chayka,60,26,14,70,30,33,67,BCL
