DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,1X PER,12 PER,X2 PER,OVER 1.5,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2026.18.02,01:00,River Plate , Ciudad de Bolívar,73,13,13,86,86,26,76,34,66,61,39,ACC
2026.18.02,19:00,Porto BA , Serra Branca,58,21,21,79,79,42,50,60,40,35,65,ACC
2026.18.02,19:30,Maguary , Laguna RN,70,15,15,85,85,30,57,66,34,42,58,ACC
2026.18.02,20:00,Bare EC , Madureira,19,19,61,38,80,80,59,67,33,44,56,ACC
2026.18.02,22:30,Araguaina , Primavera SP,16,16,68,32,84,84,49,61,39,34,66,ACC
2026.18.02,23:00,Gama , Monte Roraima,74,13,13,87,87,26,43,61,39,28,72,ACC
2026.18.02,23:00,Betim , Piaui,77,11,11,88,88,22,50,67,33,35,65,ACC
2026.18.02,23:00,America SE , CEFAT Tirol,69,15,15,84,84,30,57,61,39,42,58,ACC
2026.18.02,23:00,Santa Catarina , IAPE,65,17,17,82,82,34,58,66,34,43,57,ACC
2026.18.02,23:30,Ji-Parana , Pantanal,56,22,22,78,78,44,43,62,38,28,72,ACC
2026.18.02,23:30,Ivinhema , Independente AP,67,16,16,83,83,32,46,64,36,31,69,ACC
2026.18.02,18:00,Confianca Sape , Pombal EC,21,21,57,42,78,78,53,69,31,38,62,ACC
2026.18.02,22:30,Campinense , Sousa,69,15,15,84,84,30,87,35,65,72,28,ACC
2026.18.02,01:10,Popayan , Orsomarso,65,17,17,82,82,34,74,30,70,59,41,ACC
2026.18.02,01:00,Atletico Ottawa , Nashville SC,13,13,74,26,87,87,81,33,67,66,34,ACC
2026.18.02,03:00,Real Espana , LAFC,22,22,55,44,77,77,88,35,65,73,27,ACC
2026.18.02,23:00,Defence Force FC , Philadelphia,10,10,79,20,89,89,72,32,68,57,43,ACC
2026.18.02,00:30,Liverpool Montevideo , Independiente Medellin,54,23,23,77,77,46,88,37,63,73,27,ACC
2026.18.02,00:30,2 de Mayo , Sporting Cristal,27,45,27,72,54,72,43,63,37,28,72,ACC
2026.18.02,22:00,OHiggins , Bahia,26,26,47,52,73,73,82,39,61,67,33,ACC
2026.18.02,20:00,Wolverhampton , Arsenal,11,11,77,22,88,88,55,66,34,40,60,ACC
2026.18.02,19:45,Wigan , Luton,26,26,48,52,74,74,52,68,32,37,63,ACC
2026.18.02,19:45,Grimsby , Walsall,61,19,19,80,80,38,83,35,65,68,32,ACC
2026.18.02,21:00,Cobán Imperial , Municipal,23,53,23,76,46,76,78,30,70,63,37,ACC
2026.18.02,19:45,AC Milan , Como,46,27,27,73,73,54,79,40,60,64,36,ACC
2026.18.02,19:30,Catania , Trapani 1905,74,13,13,87,87,26,88,36,64,73,27,ACC
2026.18.02,16:30,Pistoiese , U.S. Ancona,57,21,21,78,78,42,49,64,36,34,66,ACC
2026.18.02,12:00,Sofapaka , Police,22,22,55,44,77,77,81,32,68,66,34,ACC
2026.18.02,12:00,Ulinzi Stars , Homeboyz,18,18,64,36,82,82,78,30,70,63,37,ACC
2026.18.02,15:00,Mathare United , Shabana,18,18,64,36,82,82,76,35,65,61,39,ACC
2026.18.02,17:30,Floriana , Marsaxlokk,66,17,17,83,83,34,72,40,60,57,43,ACC
2026.18.02,17:30,Hibernians , Hamrun Spartans,13,13,73,26,86,86,80,39,61,65,35,ACC
2026.18.02,20:00,Mosta , Tarxien Rainbows,69,15,15,84,84,30,83,30,70,68,32,ACC
2026.18.02,17:00,Renaissance Zemamra , RSB Berkane,17,17,65,34,82,82,56,67,33,41,59,ACC
2026.18.02,21:00,Jalapa , Rancho Santana FC,80,10,10,90,90,20,76,34,66,61,39,ACC
2026.18.02,23:00,CD Walter Ferretti , Matagalpa FC,60,20,20,80,80,40,73,39,61,58,42,ACC
2026.18.02,19:45,Aberdeen , Motherwell,23,23,54,46,77,77,84,32,68,69,31,ACC
2026.18.02,17:00,Spartak Trnava , Slovan Bratislava,22,22,56,44,78,78,80,32,68,65,35,ACC
2026.18.02,17:30,Stellenbosch , Magesi,62,19,19,81,81,38,71,38,62,56,44,ACC
2026.18.02,17:30,Orlando Pirates , Mamelodi Sundowns,23,54,23,77,46,77,42,62,38,27,73,ACC
2026.18.02,17:30,Siwelele , Kaizer Chiefs,17,17,65,34,82,82,76,31,69,61,39,ACC
2026.18.02,19:00,Levante , Villarreal,19,19,61,38,80,80,85,34,66,70,30,ACC
2026.18.02,18:00,Winterthur , St Gallen,18,18,63,36,81,81,80,31,69,65,35,ACC
2026.18.02,11:00,Esan Pattaya , Nakhon Pathom,65,17,17,82,82,34,81,36,64,66,34,ACC
2026.18.02,11:30,Sisaket United , Nong Bua Pitchaya,66,17,17,83,83,34,88,35,65,73,27,ACC
2026.18.02,11:30,Songkhla , Khon Kaen United,16,16,67,32,83,83,75,40,60,60,40,ACC
2026.18.02,12:00,Pattani , Rasi Salai United,19,19,62,38,81,81,85,29,71,70,30,ACC
2026.18.02,12:00,Police Tero , Trat FC,71,14,14,85,85,28,74,29,71,59,41,ACC
2026.18.02,11:30,Ankara Keciorengucu , Erzurumspor FK,24,24,52,48,76,76,88,29,71,73,27,ACC
2026.18.02,11:30,Serik Belediyespor , Corum FK,14,14,72,28,86,86,51,40,60,36,64,ACC
2026.18.02,14:00,Vanspor FK , Bodrum FK,48,26,26,74,74,52,82,36,64,67,33,ACC
2026.18.02,17:00,Manisa FK , Bandirmaspor,47,26,26,73,73,52,76,38,62,61,39,ACC
2026.18.02,17:45,FK Qarabag , Newcastle,14,14,71,28,85,85,57,62,38,42,58,ACC
2026.18.02,20:00,Club Brugge , Atletico Madrid,17,17,65,34,82,82,78,37,63,63,37,ACC
2026.18.02,20:00,Bodo/Glimt , Inter Milan,16,16,68,32,84,84,86,32,68,71,29,ACC
2026.18.02,20:00,Olympiacos , Bayer Leverkusen,27,45,27,72,54,72,73,39,61,58,42,ACC
2026.18.02,17:45,Real Madrid (W) , Paris FC (W),75,12,12,87,87,24,75,39,61,60,40,ACC
2026.18.02,20:00,Arsenal (W) , OH Leuven (W),70,15,15,85,85,30,47,30,70,32,68,ACC
2026.18.02,10:00,Melbourne City , Gangwon FC,25,50,25,75,50,75,74,31,69,59,41,ACC
2026.18.02,10:00,SHANGHAI SIPG , Ulsan Hyundai FC,16,16,67,32,83,83,82,38,62,67,33,ACC
