DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,1X,12,X2,OVER 1.5
18/02/2026,18:30,Hamrun Spartans,Hibernians Paola,39,33,28,46,54,64,36,Forebet,72.0,67.0,61.0,79
18/02/2026,18:30,Floriana FC,Marsaxlokk,30,32,38,47,53,60,40,Forebet,62.0,68.0,70.0,75
18/02/2026,18:45,Qarabag,Newcastle United,32,30,38,40,60,54,46,Forebet,62.0,70.0,68.0,69
18/02/2026,18:45,Real Madrid W,Paris W,37,39,24,55,45,55,45,Forebet,76.0,61.0,63.0,70
18/02/2026,19:00,FC Winterthur,St Gallen,21,28,51,40,60,78,22,Forebet,49.0,72.0,79.0,93
18/02/2026,19:00,Confiança EC,Pombal,30,37,33,80,20,51,49,Forebet,67.0,63.0,70.0,66
18/02/2026,19:00,HK Kopavogur,Vestri,38,41,21,30,70,63,37,Forebet,79.0,59.0,62.0,78
18/02/2026,19:00,Monte Azul SP,Oeste FC,12,47,41,54,46,56,44,Forebet,59.0,53.0,88.0,71
18/02/2026,19:00,RSC Anderlecht W,Zulte-Waregem W,63,26,12,25,75,49,51,Forebet,89.0,75.0,38.0,64
18/02/2026,19:15,Al Nassr,Arkadag,63,18,19,56,44,38,62,Forebet,81.0,82.0,37.0,53
18/02/2026,19:15,Ahli Doha,Sepahan Esfahan,25,41,34,46,54,51,49,Forebet,66.0,59.0,75.0,66
18/02/2026,19:30,Thor Akureyri,Volsungur,52,26,22,34,66,46,54,Forebet,78.0,74.0,48.0,61
18/02/2026,19:30,St. Liege W,Genk W,46,35,19,48,52,57,43,Forebet,81.0,65.0,54.0,72
18/02/2026,20:00,Levante,Villarreal,25,19,55,47,53,60,40,Forebet,44.0,80.0,74.0,75
18/02/2026,20:00,Extremadura 1924,Atlético Antoniano,33,31,36,67,33,43,57,Forebet,64.0,69.0,67.0,58
18/02/2026,20:00,Porto BA,Serra Branca,38,30,32,51,49,47,53,Forebet,68.0,70.0,62.0,62
18/02/2026,20:00,Fluminense-PI,Parnahyba PI,53,30,17,55,45,40,60,Forebet,83.0,70.0,47.0,55
18/02/2026,20:30,Catania,Trapani 1905,65,16,18,52,48,50,50,Forebet,81.0,83.0,34.0,65
18/02/2026,20:30,Cwmbran Celtic,Pontypridd Town,33,20,47,47,53,51,49,Forebet,53.0,80.0,67.0,66
18/02/2026,20:30,Maguary PE,Laguna,36,31,33,42,58,73,27,Forebet,67.0,69.0,64.0,88
18/02/2026,20:30,Atlético Albericia,Colindres,57,23,19,34,66,61,39,Forebet,80.0,76.0,42.0,76
18/02/2026,20:45,Wigan Athletic,Luton Town,36,24,40,61,39,41,59,Forebet,60.0,76.0,64.0,56
18/02/2026,20:45,Grimsby Town,Walsall FC,31,43,26,54,46,58,42,Forebet,74.0,57.0,69.0,73
18/02/2026,20:45,Milan,Calcio Como,48,32,20,70,30,49,51,Forebet,80.0,68.0,52.0,64
18/02/2026,20:45,Farnborough FC,Dagenham & Redbridge,24,31,45,56,44,49,51,Forebet,55.0,69.0,76.0,64
18/02/2026,20:45,Aberdeen,Motherwell,39,32,29,57,43,37,63,Forebet,71.0,68.0,61.0,52
18/02/2026,21:00,Wolverhampton,Arsenal,14,21,65,44,56,49,51,Forebet,35.0,79.0,86.0,64
18/02/2026,21:00,Olympiacos FC,Bayer Leverkusen,40,25,35,59,41,45,55,Forebet,65.0,75.0,60.0,60
18/02/2026,21:00,Club Brugge,Atlético Madrid,33,30,37,46,54,57,43,Forebet,63.0,70.0,67.0,72
18/02/2026,21:00,Bodo/Glimt,Inter,30,19,51,41,59,63,37,Forebet,49.0,81.0,70.0,78
18/02/2026,21:00,Tarxien Rainbows,Mosta FC,40,29,31,42,58,50,50,Forebet,69.0,71.0,60.0,65
18/02/2026,21:00,Baré RR,Madureira RJ,42,32,26,61,39,31,69,Forebet,74.0,68.0,58.0,46
18/02/2026,21:00,Barcelona RO,Uniao Cacoalense RO,49,31,21,42,58,51,49,Forebet,80.0,70.0,52.0,66
18/02/2026,21:00,Arsenal LFC W,OH Leuven W,60,19,21,48,52,61,39,Forebet,79.0,81.0,40.0,76
18/02/2026,21:00,Lanús Res.,Estudiantes RC Res.,41,34,25,77,23,22,78,Forebet,75.0,66.0,59.0,37
18/02/2026,21:00,Sarmiento Res.,Atlético Tucumán Res.,33,30,36,41,59,54,46,Forebet,63.0,69.0,66.0,69
18/02/2026,21:00,Estudiantes La Plata Res.,Platense Res.,32,35,33,48,52,57,43,Forebet,67.0,65.0,68.0,72
18/02/2026,21:00,Colón Res.,Quilmes Res.,23,40,37,82,18,51,49,Forebet,63.0,60.0,77.0,66
18/02/2026,21:00,San Martín San Juan Res.,Independiente Res.,45,26,29,44,56,55,45,Forebet,71.0,74.0,55.0,70
18/02/2026,21:00,Belgrano Córdoba Res.,Huracán Res.,37,27,36,59,41,47,53,Forebet,64.0,73.0,63.0,62
18/02/2026,21:00,Strathspey Thistle,Buckie Thistle,31,20,49,16,84,49,51,Forebet,51.0,80.0,69.0,64
18/02/2026,22:00,Cobán Imperial,CSD Municipal,23,41,36,52,48,59,41,Forebet,64.0,59.0,77.0,74
18/02/2026,22:00,Jalapa ART,Rancho Santana,49,24,27,55,45,49,51,Forebet,73.0,76.0,51.0,64
18/02/2026,22:00,Suchitepéquez,Chichicasteco,29,52,19,60,40,51,49,Forebet,81.0,48.0,71.0,66
18/02/2026,22:15,Platense (SLV),Fuerte San Francisco,35,45,21,54,46,51,49,Forebet,80.0,56.0,66.0,66
18/02/2026,23:00,Hercules,Cacahuatique,20,31,49,38,62,54,46,Forebet,51.0,69.0,80.0,69
18/02/2026,23:00,O Higgins,Bahia,31,40,29,71,29,54,46,Forebet,71.0,60.0,69.0,69
18/02/2026,23:00,Ituano SP,Agua Santa SP,33,40,27,55,45,57,43,Forebet,73.0,60.0,67.0,72
18/02/2026,23:00,Sertãozinho SP,Juventus SP,27,56,17,67,33,51,49,Forebet,83.0,44.0,73.0,66
18/02/2026,23:15,Alagoinhas Atlético BA,Porto BA,12,57,31,56,44,51,49,Forebet,69.0,43.0,88.0,66
18/02/2026,23:30,Campinense PB,Sousa PB,39,37,24,50,50,57,43,Forebet,76.0,63.0,61.0,72
18/02/2026,23:30,Araguaína TO,Primavera SP,47,25,28,60,40,46,54,Forebet,72.0,75.0,53.0,61
18/02/2026,23:30,Aparecidense GO,Centro Oeste,33,35,32,25,75,64,36,Forebet,68.0,65.0,67.0,79
18/02/2026,23:30,Votuporanguense SP,Sao Bento,54,34,12,55,45,27,73,Forebet,88.0,66.0,46.0,42
18/02/2026,23:30,Grêmio Prudente,Inter Limeira SP,21,57,22,63,37,51,49,Forebet,78.0,43.0,79.0,66
18/02/2026,23:30,Linense SP,XV de Piracicaba SP,25,40,35,54,46,51,49,Forebet,65.0,60.0,75.0,66
