DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,1X,12,X2,OVER 1.5
18/02/26,01:00,River Plate,Ciudad de Bolívar,89,6,5,32,68,19,81,FST,95.0,94.0,11.0,34
18/02/26,19:00,Porto BA,Serra Branca,31,45,24,71,29,34,66,FST,76.0,55.0,69.0,49
18/02/26,19:30,Maguary,Laguna RN,82,6,12,65,35,17,83,FST,88.0,94.0,18.0,32
18/02/26,20:00,Bare EC,Madureira,26,8,66,66,34,34,66,FST,34.0,92.0,74.0,49
18/02/26,22:30,Araguaina,Primavera SP,33,6,61,68,32,34,66,FST,39.0,94.0,67.0,49
18/02/26,23:00,Gama,Monte Roraima,86,4,10,62,38,24,76,FST,90.0,96.0,14.0,39
18/02/26,23:00,Betim,Piaui,76,8,16,64,36,39,61,FST,84.0,92.0,24.0,54
18/02/26,23:00,America SE,CEFAT Tirol,50,32,18,71,29,38,62,FST,82.0,68.0,50.0,53
18/02/26,23:00,Santa Catarina,IAPE,72,8,20,71,29,29,71,FST,80.0,92.0,28.0,44
18/02/26,23:30,Ji-Parana,Pantanal,30,51,19,72,28,34,66,FST,81.0,49.0,70.0,49
18/02/26,23:30,Ivinhema,Independente AP,60,14,26,68,32,33,67,FST,74.0,86.0,40.0,48
18/02/26,01:10,Popayan,Orsomarso,56,28,16,74,26,34,66,FST,84.0,72.0,44.0,49
18/02/26,01:00,Atletico Ottawa,Nashville SC,22,6,72,35,65,69,31,FST,28.0,94.0,78.0,84
18/02/26,03:00,Real Espana,LAFC,38,4,58,42,58,62,38,FST,42.0,96.0,62.0,77
18/02/26,23:00,Defence Force FC,Philadelphia,19,4,77,33,67,65,35,FST,23.0,96.0,81.0,80
18/02/26,00:30,2 de Mayo,Sporting Cristal,30,50,20,69,31,35,65,FST,80.0,50.0,70.0,50
18/02/26,00:30,Liverpool Montevideo,Independiente Medellin,32,51,17,68,32,58,42,FST,83.0,49.0,68.0,73
18/02/26,22:00,OHiggins,Bahia,35,7,58,35,65,58,42,FST,42.0,93.0,65.0,73
18/02/26,20:00,Wolverhampton,Arsenal,15,4,81,61,39,27,73,FST,19.0,96.0,85.0,42
18/02/26,19:45,Wigan,Luton,5,48,47,67,33,37,63,FST,53.0,52.0,95.0,52
18/02/26,19:45,Grimsby,Walsall,57,18,25,37,63,57,43,FST,75.0,82.0,43.0,72
18/02/26,19:45,AC Milan,Como,52,30,18,40,60,65,35,FST,82.0,70.0,48.0,80
18/02/26,12:00,Sofapaka,Police,7,41,52,79,21,43,57,FST,48.0,59.0,93.0,58
18/02/26,12:00,Ulinzi Stars,Homeboyz,5,45,50,23,77,60,40,FST,50.0,55.0,95.0,75
18/02/26,15:00,Mathare United,Shabana,7,40,53,79,21,34,66,FST,47.0,60.0,93.0,49
18/02/26,17:00,Renaissance Zemamra,RSB Berkane,27,6,67,72,28,29,71,FST,33.0,94.0,73.0,44
18/02/26,19:45,Aberdeen,Motherwell,6,42,52,36,64,65,35,FST,48.0,58.0,94.0,80
18/02/26,14:30,Liptovský Mikuláš,Komárno,19,49,32,39,61,70,30,FST,68.0,51.0,81.0,85
18/02/26,17:00,Spartak Trnava,Slovan Bratislava,20,50,30,38,62,65,35,FST,70.0,50.0,80.0,80
18/02/26,17:30,Stellenbosch,Magesi,61,18,21,81,19,14,86,FST,79.0,82.0,39.0,29
18/02/26,17:30,Orlando Pirates,Mamelodi Sundowns,16,60,24,76,24,32,68,FST,76.0,40.0,84.0,47
18/02/26,17:30,Siwelele,Kaizer Chiefs,5,44,51,77,23,28,72,FST,49.0,56.0,95.0,43
18/02/26,19:00,Levante,Villarreal,29,8,63,35,65,70,30,FST,37.0,92.0,71.0,85
18/02/26,18:00,Winterthur,St Gallen,25,8,67,27,73,76,24,FST,33.0,92.0,75.0,91
18/02/26,11:30,Ankara Keciorengucu,Erzurumspor FK,20,49,31,60,40,67,33,FST,69.0,51.0,80.0,82
18/02/26,11:30,Serik Belediyespor,Corum FK,7,5,88,29,71,34,66,FST,12.0,95.0,93.0,49
18/02/26,14:00,Vanspor FK,Bodrum FK,17,54,29,40,60,66,34,FST,71.0,46.0,83.0,81
18/02/26,17:00,Manisa FK,Bandirmaspor,30,47,23,39,61,73,27,FST,77.0,53.0,70.0,88
18/02/26,17:45,FK Qarabag,Newcastle,16,7,77,34,66,38,62,FST,23.0,93.0,84.0,53
18/02/26,20:00,Club Brugge,Atletico Madrid,36,6,58,35,65,70,30,FST,42.0,94.0,64.0,85
18/02/26,20:00,Bodo/Glimt,Inter Milan,34,4,62,31,69,73,27,FST,38.0,96.0,66.0,88
18/02/26,20:00,Olympiacos,Bayer Leverkusen,33,44,23,43,57,62,38,FST,77.0,56.0,67.0,77
18/02/26,10:00,Melbourne City,Gangwon FC,17,50,33,66,34,59,41,FST,67.0,50.0,83.0,74
18/02/26,10:00,SHANGHAI SIPG,Ulsan Hyundai FC,24,8,68,31,69,71,29,FST,32.0,92.0,76.0,86
