DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,1X,12,X2,OVER 1.5
2026-2-18,00:30,2 de Mayo , Sp. Cristal,33,33,34,61,39,47,53,PREMA,66.0,67.0,67.0,62
2026-2-18,00:30,Liverpool M. , Ind. Medellin,34,33,33,58,42,49,51,PREMA,67.0,67.0,66.0,64
2026-2-18,01:00,River Plate , Ciudad Bolivar,47,37,16,39,61,36,64,PREMA,84.0,63.0,53.0,51
2026-2-18,01:00,Atletico Ottawa , Nashville SC,25,32,43,43,57,53,47,PREMA,57.0,68.0,75.0,68
2026-2-18,03:00,Real Espana , Los Angeles FC,27,32,41,48,52,53,47,PREMA,59.0,68.0,73.0,68
2026-2-18,10:00,Melbourne City , Gangwon,33,32,35,53,47,52,48,PREMA,65.0,68.0,67.0,67
2026-2-18,10:00,Shanghai Port , Ulsan HD,29,31,40,43,57,58,42,PREMA,60.0,69.0,71.0,73
2026-2-18,10:30,Kuban Krasnodar , Irtysh Omsk,35,30,35,48,52,57,43,PREMA,65.0,70.0,65.0,72
2026-2-18,11:00,Ilves Tampere , SJK Seinajoki,39,31,30,41,59,60,40,PREMA,70.0,69.0,61.0,75
2026-2-18,11:30,Keciorengucu , Erzurumspor,31,31,38,48,52,55,45,PREMA,62.0,69.0,69.0,70
2026-2-18,11:30,Serik , Corum,29,16,55,44,56,48,52,PREMA,45.0,84.0,71.0,63
2026-2-18,12:00,Nairobi United , Mara Sugar,32,43,25,71,29,42,58,PREMA,75.0,57.0,68.0,57
2026-2-18,12:15,Persib Bandung , Ratchaburi,42,33,25,46,54,51,49,PREMA,75.0,67.0,58.0,66
2026-2-18,12:15,Tampines Rovers , Cong An Ha Noi,27,30,43,34,66,62,38,PREMA,57.0,70.0,73.0,77
2026-2-18,13:00,CSKA Moscow , Rostov,38,32,30,45,55,59,41,PREMA,70.0,68.0,62.0,74
2026-2-18,13:00,Kristiansund , Hamarkameratene,35,30,35,38,62,64,36,PREMA,65.0,70.0,65.0,79
2026-2-18,14:00,Odds BK , Stromsgodset,35,30,35,38,62,64,36,PREMA,65.0,70.0,65.0,79
2026-2-18,14:00,Vanspor , Bodrum,36,28,36,48,52,46,54,PREMA,64.0,72.0,64.0,61
2026-2-18,14:30,Tatran LM , Komarno,34,31,35,51,49,54,46,PREMA,65.0,69.0,66.0,69
2026-2-18,15:00,Kwara United , Rivers United,19,43,38,79,21,33,67,PREMA,62.0,57.0,81.0,48
