DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,1X,12,X2,OVER 1.5
25/07/26,22:30,Huachipato,Cobresal,69,12,19,38,62,64,36,FST,81.0,88.0,31.0,79
25/07/26,10:30,Qingdao Hainiu,Tianjin Jinmen Tigers,28,52,20,58,42,64,36,FST,80.0,48.0,72.0,79
25/07/26,12:35,Liaoning Ironman,Qingdao West Coast,59,13,28,33,67,77,23,FST,72.0,87.0,41.0,92
25/07/26,12:35,Shanghai Port,Shanghai Shenhua,31,46,23,27,73,83,17,FST,77.0,54.0,69.0,98
25/07/26,13:00,Wuhan Three Towns,Chongqing Tonglianglong,51,32,17,37,63,67,33,FST,83.0,68.0,49.0,82
25/07/26,12:00,Changchun Yatai,Nanjing City,61,13,26,65,35,31,69,FST,74.0,87.0,39.0,46
25/07/26,12:00,Shaanxi Union,Shenzhen Juniors,54,33,13,38,62,63,37,FST,87.0,67.0,46.0,78
25/07/26,12:00,Ningbo Professional,Guangzhou E-Power,34,8,58,68,32,35,65,FST,42.0,92.0,66.0,50
25/07/26,12:30,Dongguan United,Wuxi Wugou,5,43,52,39,61,65,35,FST,48.0,57.0,95.0,80
25/07/26,12:30,Hebei Kungfu,Nantong Zhiyun,5,42,53,72,28,26,74,FST,47.0,58.0,95.0,41
25/07/26,00:10,Llaneros,Deportivo Pereira,65,19,16,66,34,29,71,FST,84.0,81.0,35.0,44
25/07/26,02:15,Deportivo Cali,Jaguares de Cordoba,71,16,13,66,34,26,74,FST,87.0,84.0,29.0,41
25/07/26,22:00,Boyaca Chico,Atletico Nacional,28,5,67,61,39,38,62,FST,33.0,95.0,72.0,53
25/07/26,22:05,Independiente Medellin,Deportivo Pasto,66,15,19,66,34,29,71,FST,81.0,85.0,34.0,44
25/07/26,22:00,Bogota FC,Union Magdalena,41,4,55,36,64,60,40,FST,45.0,96.0,59.0,75
25/07/26,03:00,Deportivo Saprissa,Municipal Perez Zeledon,87,3,10,30,70,30,70,FST,90.0,97.0,13.0,45
25/07/26,09:15,FC Vratimov,MFK Havirov,27,8,65,23,77,85,15,FST,35.0,92.0,73.0,100
25/07/26,09:15,TJ Tatran Bohunice,CSK Uhersky Brod,29,7,64,41,59,58,42,FST,36.0,93.0,71.0,73
25/07/26,09:30,Sparta Brno,SFK Vrchovina,33,4,63,27,73,70,30,FST,37.0,96.0,67.0,85
25/07/26,09:30,FK Blansko,FC Spartak Velka Bites,66,5,29,24,76,76,24,FST,71.0,95.0,34.0,91
25/07/26,13:00,Bridlicna,Hlucin,21,49,30,59,41,66,34,FST,70.0,51.0,79.0,81
25/07/26,16:00,Sternberk,Jiskra Rymarov,30,8,62,23,77,81,19,FST,38.0,92.0,70.0,96
25/07/26,16:00,TJ Sokol Lanzhot,Bystrc Knínicky,68,10,22,31,69,69,31,FST,78.0,90.0,32.0,84
25/07/26,16:00,SK Stonava,Polanka,38,6,56,31,69,73,27,FST,44.0,94.0,62.0,88
25/07/26,16:00,Viktoria Plzen,Slovan Liberec,72,9,19,36,64,64,36,FST,81.0,91.0,28.0,79
25/07/26,16:00,FK Teplice,Bohemians 1905,32,46,22,63,37,60,40,FST,78.0,54.0,68.0,75
25/07/26,16:00,FC Zlin,Banik Ostrava,6,42,52,36,64,56,44,FST,48.0,58.0,94.0,71
25/07/26,19:00,FC Brno,Sparta Prague,24,7,69,35,65,62,38,FST,31.0,93.0,76.0,77
25/07/26,17:00,AGF Aarhus,Brondby,31,52,17,35,65,71,29,FST,83.0,48.0,69.0,86
25/07/26,13:00,Hvidovre IF,Vendsyssel FF,61,14,25,36,64,72,28,FST,75.0,86.0,39.0,87
25/07/26,14:00,Esbjerg,Kolding IF,53,30,17,35,65,73,27,FST,83.0,70.0,47.0,88
25/07/26,15:00,FC Fredericia,HB Køge,71,10,19,34,66,61,39,FST,81.0,90.0,29.0,76
25/07/26,01:00,LDU Portoviejo,Santo Domingo,54,30,16,30,70,64,36,FST,84.0,70.0,46.0,79
25/07/26,19:30,9 de Octubre,22 de Julio,79,4,17,38,62,69,31,FST,83.0,96.0,21.0,84
25/07/26,11:00,Lens,Charleroi,78,6,16,60,40,26,74,FST,84.0,94.0,22.0,41
25/07/26,15:00,Bromley,Crystal Palace,13,6,81,25,75,68,32,FST,19.0,94.0,87.0,83
25/07/26,15:00,Celtic,AC Milan,32,49,19,28,72,71,29,FST,81.0,51.0,68.0,86
25/07/26,16:00,Wolverhampton,Real Sociedad,55,34,11,34,66,74,26,FST,89.0,66.0,45.0,89
25/07/26,16:30,Konyaspor,Hull,16,52,32,30,70,74,26,FST,68.0,48.0,84.0,89
25/07/26,17:00,Rennes,Club Brugge,56,11,33,29,71,74,26,FST,67.0,89.0,44.0,89
25/07/26,17:00,PSV,Villarreal,58,8,34,15,85,87,13,FST,66.0,92.0,42.0,102
25/07/26,18:00,Valladolid,Getafe,32,8,60,30,70,75,25,FST,40.0,92.0,68.0,90
25/07/26,19:00,FC Porto,Aston Villa,57,10,33,33,67,75,25,FST,67.0,90.0,43.0,90
25/07/26,19:30,Sporting,Monaco,69,8,23,23,77,75,25,FST,77.0,92.0,31.0,90
25/07/26,23:00,Liverpool,Sunderland,73,5,22,30,70,66,34,FST,78.0,95.0,27.0,81
25/07/26,17:00,Nõmme Kalju II,Flora II,34,6,60,11,89,69,31,FST,40.0,94.0,66.0,84
25/07/26,14:30,IFK Mariehamn,AC Oulu,24,6,70,35,65,61,39,FST,30.0,94.0,76.0,76
25/07/26,15:00,KuPS Kuopio,VPS Vaasa,57,16,27,37,63,73,27,FST,73.0,84.0,43.0,88
25/07/26,14:00,RoPS,JJK,59,11,30,24,76,77,23,FST,70.0,89.0,41.0,92
25/07/26,14:00,SalPa,PK Keski-Uusimaa,69,8,23,21,79,76,24,FST,77.0,92.0,31.0,91
25/07/26,16:00,Kisvarda FC,Kispest Honved,30,48,22,44,56,67,33,FST,78.0,52.0,70.0,82
25/07/26,18:00,Ajka,Kecskeméti TE,33,8,59,34,66,66,34,FST,41.0,92.0,67.0,81
25/07/26,18:00,BVSC,Kazincbarcikai,4,47,49,58,42,41,59,FST,51.0,53.0,96.0,56
25/07/26,18:00,Tiszakecske FC,Szeged 2011,31,46,23,64,36,34,66,FST,77.0,54.0,69.0,49
25/07/26,18:00,Fehérvár FC,Kozarmisleny FC,56,15,29,41,59,63,37,FST,71.0,85.0,44.0,78
25/07/26,15:00,IR Reykjavik,Fylkir,35,5,60,24,76,83,17,FST,40.0,95.0,65.0,98
25/07/26,15:00,Fjardabyggd / Leiknir,Thróttur Vogar,63,8,29,18,82,34,66,FST,71.0,92.0,37.0,49
25/07/26,17:00,Dalvík / Reynir,Vikingur Olafsiik,54,10,36,31,69,61,39,FST,64.0,90.0,46.0,76
25/07/26,18:00,Kormákur / Hvöt,Selfoss,58,8,34,21,79,68,32,FST,66.0,92.0,42.0,83
25/07/26,13:00,Atmosfera,Hegelmann II,80,3,17,24,76,30,70,FST,83.0,97.0,20.0,45
25/07/26,15:00,Neptūną Klaipėda,FA Šiauliai II,89,8,3,19,81,60,40,FST,97.0,92.0,11.0,75
25/07/26,17:00,Jonava,Garliava,29,49,22,39,61,65,35,FST,78.0,51.0,71.0,80
25/07/26,16:00,Struga,Shkëndija Haraçinë,86,3,11,30,70,66,34,FST,89.0,97.0,14.0,81
25/07/26,16:00,Vardar Skopje,Bregalnica Štip,89,3,8,23,77,39,61,FST,92.0,97.0,11.0,54
25/07/26,04:00,Atlante,Club America,25,6,69,40,60,62,38,FST,31.0,94.0,75.0,77
25/07/26,04:00,Tijuana,Leon,57,16,27,35,65,72,28,FST,73.0,84.0,43.0,87
25/07/26,02:00,Mineros de Zacatecas,Correcaminos Uat,73,8,19,32,68,58,42,FST,81.0,92.0,27.0,73
25/07/26,23:00,Tlaxcala,Leones Negros UDG,62,14,24,62,38,35,65,FST,76.0,86.0,38.0,50
25/07/26,15:00,Kristiansund BK,IK Start,52,33,15,37,63,73,27,FST,85.0,67.0,48.0,88
25/07/26,17:00,Stromsgodset,Lyn 1896,80,4,16,18,82,70,30,FST,84.0,96.0,20.0,85
25/07/26,19:00,Haugesund,Bryne,64,11,25,25,75,75,25,FST,75.0,89.0,36.0,90
25/07/26,20:00,Deportivo Recoleta,Sportivo San Lorenzo,63,11,26,34,66,59,41,FST,74.0,89.0,37.0,74
25/07/26,22:30,Sportivo Ameliano,Nacional Asuncion,6,45,49,73,27,25,75,FST,51.0,55.0,94.0,40
25/07/26,02:30,Universitario de Deportes,Cusco FC,77,12,11,36,64,35,65,FST,89.0,88.0,23.0,50
25/07/26,19:00,Sport Huancayo,Atletico Grau,67,12,21,63,37,36,64,FST,79.0,88.0,33.0,51
25/07/26,21:15,Juan Pablo II College,Cienciano,18,55,27,32,68,73,27,FST,73.0,45.0,82.0,88
25/07/26,23:30,Sport Boys,AD Tarma,61,17,22,42,58,69,31,FST,78.0,83.0,39.0,84
25/07/26,13:45,Jagiellonia Bialystok,Korona Kielce,58,17,25,42,58,67,33,FST,75.0,83.0,42.0,82
25/07/26,16:30,Gornik Zabrze,Slask Wroclaw,65,12,23,38,62,69,31,FST,77.0,88.0,35.0,84
25/07/26,19:15,Lech Poznan,Cracovia Krakow,74,10,16,34,66,71,29,FST,84.0,90.0,26.0,86
25/07/26,14:30,Stal Rzeszow,Chrobry Glogow,7,40,53,31,69,74,26,FST,47.0,60.0,93.0,89
25/07/26,14:30,Pogon Siedlce,LKS Lodz,31,7,62,38,62,63,37,FST,38.0,93.0,69.0,78
25/07/26,14:30,Lechia Gdansk,Pogon Grodzisk Mazowiecki,17,51,32,35,65,74,26,FST,68.0,49.0,83.0,89
25/07/26,17:00,Galway United,Waterford FC,61,13,26,28,72,72,28,FST,74.0,87.0,39.0,87
25/07/26,19:45,Sligo Rovers,Drogheda United,32,47,21,40,60,63,37,FST,79.0,53.0,68.0,78
25/07/26,19:30,Longford Town,Wexford,17,54,29,39,61,65,35,FST,71.0,46.0,83.0,80
25/07/26,15:30,Farul Constanta,CS Corvinul Hunedoara,54,16,30,62,38,41,59,FST,70.0,84.0,46.0,56
25/07/26,17:30,Dinamo Bucharest,CS U Craiova,17,55,28,65,35,56,44,FST,72.0,45.0,83.0,71
25/07/26,15:00,Aberdeen,Kelty Hearts,89,5,6,19,81,39,61,FST,94.0,95.0,11.0,54
25/07/26,15:00,Queens Park,Queen of South,56,13,31,38,62,68,32,FST,69.0,87.0,44.0,83
25/07/26,15:00,Airdrieonians,Ross County,29,5,66,32,68,69,31,FST,34.0,95.0,71.0,84
25/07/26,15:00,Arbroath,Stirling,70,9,21,32,68,68,32,FST,79.0,91.0,30.0,83
25/07/26,15:00,Ayr,Alloa,76,6,18,28,72,76,24,FST,82.0,94.0,24.0,91
25/07/26,15:00,Dumbarton,Cove Rangers,8,36,56,27,73,76,24,FST,44.0,64.0,92.0,91
25/07/26,15:00,Dundee,Clyde,89,4,7,21,79,27,73,FST,93.0,96.0,11.0,42
25/07/26,15:00,Falkirk,Stranraer,89,5,6,23,77,34,66,FST,94.0,95.0,11.0,49
25/07/26,15:00,Forfar,Brechin,54,36,10,31,69,75,25,FST,90.0,64.0,46.0,90
25/07/26,15:00,Hamilton,Elgin,89,5,6,24,76,26,74,FST,94.0,95.0,11.0,41
25/07/26,15:00,Montrose,Spartans FC,87,3,10,30,70,31,69,FST,90.0,97.0,13.0,46
25/07/26,15:00,Morton,Inverness CT,25,6,69,29,71,74,26,FST,31.0,94.0,75.0,89
25/07/26,15:00,Peterhead,Kilmarnock,15,5,80,34,66,32,68,FST,20.0,95.0,85.0,47
25/07/26,15:00,St Johnstone,East Fife,88,3,9,25,75,41,59,FST,91.0,97.0,12.0,56
25/07/26,15:00,Stenhousemuir,Livingston,21,7,72,33,67,70,30,FST,28.0,93.0,79.0,85
25/07/26,16:30,Radnicki NIS,Cukaricki,53,34,13,38,62,68,32,FST,87.0,66.0,47.0,83
25/07/26,19:00,IMT Novi Beograd,Zemun,64,14,22,63,37,36,64,FST,78.0,86.0,36.0,51
25/07/26,19:00,OFK Beograd,Radnik Surdulica,53,34,13,39,61,67,33,FST,87.0,66.0,47.0,82
25/07/26,17:00,AS Trencin,Komárno,50,33,17,39,61,65,35,FST,83.0,67.0,50.0,80
25/07/26,17:00,Spartak Trnava,Skalica,69,16,15,64,36,31,69,FST,85.0,84.0,31.0,46
25/07/26,19:30,Podbrezová,Zemplín Michalovce,64,13,23,24,76,82,18,FST,77.0,87.0,36.0,97
25/07/26,15:00,Humenné,Tatran Prešov,5,43,52,38,62,61,39,FST,48.0,57.0,95.0,76
25/07/26,16:00,Galanta,Lokomotíva Zvolen,6,42,52,37,63,62,38,FST,48.0,58.0,94.0,77
25/07/26,16:00,Baník Lehota p.Vtáčnikom,Pohronie,31,48,21,38,62,56,44,FST,79.0,52.0,69.0,71
25/07/26,16:00,MFK Bytča,Liptovský Mikuláš,27,8,65,38,62,69,31,FST,35.0,92.0,73.0,84
25/07/26,16:00,Považská Bystrica,Inter Bratislava,54,33,13,60,40,31,69,FST,87.0,67.0,46.0,46
25/07/26,17:00,Mura,Olimpija Ljubljana,32,8,60,38,62,64,36,FST,40.0,92.0,68.0,79
25/07/26,19:15,Maribor,Brinje-Grosuplje,75,8,17,36,64,57,43,FST,83.0,92.0,25.0,72
25/07/26,11:30,Gimcheon Sangmu FC,Daejeon Hana Citizen,29,50,21,44,56,62,38,FST,79.0,50.0,71.0,77
25/07/26,11:30,Pohang Steelers,Jeonbuk Motors,5,46,49,68,32,33,67,FST,51.0,54.0,95.0,48
25/07/26,11:30,Hwaseong FC,Chungnam Asan FC,51,32,17,38,62,55,45,FST,83.0,68.0,49.0,70
25/07/26,11:30,Busan I Park,Suwon Bluewings,5,43,52,43,57,60,40,FST,48.0,57.0,95.0,75
25/07/26,11:30,Daegu FC,Suwon FC,61,11,28,27,73,76,24,FST,72.0,89.0,39.0,91
25/07/26,11:30,Jeonnam Dragons,Gyeongnam FC,17,53,30,61,39,63,37,FST,70.0,47.0,83.0,78
25/07/26,09:00,Gyeongju HNP,Siheung Citizen,20,47,33,67,33,42,58,FST,67.0,53.0,80.0,57
25/07/26,10:00,Pocheon,Daejeon Korail,52,33,15,35,65,55,45,FST,85.0,67.0,48.0,70
25/07/26,11:00,Dangjin Citizen,Mokpo City,61,13,26,42,58,62,38,FST,74.0,87.0,39.0,77
25/07/26,11:00,Gangneung City,Yeoju Sejong,51,33,16,66,34,36,64,FST,84.0,67.0,49.0,51
25/07/26,14:00,Degerfors,Djurgarden,23,8,69,35,65,68,32,FST,31.0,92.0,77.0,83
25/07/26,16:30,Kalmar FF,Mjällby AIF,49,33,18,41,59,63,37,FST,82.0,67.0,51.0,78
25/07/26,14:00,IFK Varnamo,IK Brage,51,34,15,34,66,72,28,FST,85.0,66.0,49.0,87
25/07/26,17:00,Servette,Basel,32,51,17,25,75,80,20,FST,83.0,49.0,68.0,95
25/07/26,17:00,FC Lausanne-Sport,Grasshoppers,59,14,27,34,66,71,29,FST,73.0,86.0,41.0,86
25/07/26,19:30,Lucerne,FC Thun,59,14,27,25,75,82,18,FST,73.0,86.0,41.0,97
25/07/26,19:00,Central Espanol,Cerro Largo,32,48,20,72,28,37,63,FST,80.0,52.0,68.0,52
25/07/26,19:00,Defensor Sporting,Liverpool Montevideo,31,46,23,70,30,33,67,FST,77.0,54.0,69.0,48
25/07/26,23:30,NY Red Bulls,Charlotte FC,50,32,18,31,69,74,26,FST,82.0,68.0,50.0,89
25/07/26,01:00,Birmingham Legion,New Mexico United,56,13,31,38,62,72,28,FST,69.0,87.0,44.0,87
