DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME,1X,12,X2,OVER 1.5
25/07/26,01:15,Huracan,Banfield,58,23,19,80,20,23,77,FST,81.0,77.0,42.0,38
25/07/26,01:15,Platense,Union Santa Fe,15,59,26,80,20,30,70,FST,74.0,41.0,85.0,45
25/07/26,18:45,Estudiantes Rio Cuarto,Tigre,4,47,49,79,21,28,72,FST,51.0,53.0,96.0,43
25/07/26,21:00,Newells,Talleres Cordoba,14,58,28,79,21,24,76,FST,72.0,42.0,86.0,39
25/07/26,23:15,River Plate,Barracas Central,78,11,11,66,34,27,73,FST,89.0,89.0,22.0,42
25/07/26,19:00,Tristan Suarez,Chacarita Juniors,58,19,23,81,19,16,84,FST,77.0,81.0,42.0,31
25/07/26,19:00,CA Estudiantes Caseros,Club Ciudad de Bolivar,64,20,16,80,20,19,81,FST,84.0,80.0,36.0,34
25/07/26,20:00,Atletico Rafaela,Nueva Chicago,47,29,24,79,21,28,72,FST,76.0,71.0,53.0,43
25/07/26,23:00,San Martin de Tucuman,Temperley,56,22,22,79,21,22,78,FST,78.0,78.0,44.0,37
25/07/26,16:00,FC Lustenau,FC Kitzbuhel,20,48,32,25,75,82,18,FST,68.0,52.0,80.0,97
25/07/26,16:00,SR Donaufeld,Grazer AK,12,4,84,21,79,60,40,FST,16.0,96.0,88.0,75
25/07/26,17:00,SC Kalsdorf,LASK Linz,3,8,89,9,91,74,26,FST,11.0,92.0,97.0,89
25/07/26,17:00,Oberwart,FC Salzburg,7,4,89,18,82,26,74,FST,11.0,96.0,93.0,41
25/07/26,17:00,FC Wacker Innsbruck,SVG Reichenau,89,4,7,19,81,57,43,FST,93.0,96.0,11.0,72
25/07/26,17:30,Kremser SC,Austria Lustenau,4,7,89,22,78,15,85,FST,11.0,93.0,96.0,30
25/07/26,00:00,Club Aurora,ABB,80,4,16,19,81,72,28,FST,84.0,96.0,20.0,87
25/07/26,20:00,Always Ready,San Antonio Bulo Bulo,89,6,5,7,93,64,36,FST,95.0,94.0,11.0,79
25/07/26,22:15,Guabira,Real Oruro,64,9,27,23,77,84,16,FST,73.0,91.0,36.0,99
25/07/26,22:30,Athletico Paranaense,Internacional,56,19,25,67,33,36,64,FST,75.0,81.0,44.0,51
25/07/26,22:30,Santos,Chapecoense,78,11,11,34,66,60,40,FST,89.0,89.0,22.0,75
25/07/26,21:00,Ferroviária,Maranhão,63,16,21,76,24,28,72,FST,79.0,84.0,37.0,43
25/07/26,22:30,Confiança,AO Itabaiana,59,16,25,71,29,26,74,FST,75.0,84.0,41.0,41
25/07/26,23:00,Volta Redonda,Anápolis,65,11,24,66,34,34,66,FST,76.0,89.0,35.0,49
25/07/26,17:00,CSKA 1948 Sofia,Botev Vratsa,75,11,14,57,43,38,62,FST,86.0,89.0,25.0,53
25/07/26,19:15,Lokomotiv 1929 Sofia,Levski Sofia,20,7,73,36,64,67,33,FST,27.0,93.0,80.0,82
25/07/26,16:30,Nesebar,Etar Veliko Tarnovo,16,54,30,69,31,37,63,FST,70.0,46.0,84.0,52
25/07/26,16:30,Sportist Svoge,Montana,20,49,31,67,33,34,66,FST,69.0,51.0,80.0,49
25/07/26,18:00,Fratria,Marek,75,11,14,38,62,54,46,FST,86.0,89.0,25.0,69
25/07/26,18:00,Yantra 2019,Spartak Pleven,65,15,20,65,35,40,60,FST,80.0,85.0,35.0,55
25/07/26,03:00,Vancouver FC,Cavalry FC,38,6,56,37,63,62,38,FST,44.0,94.0,62.0,77
25/07/26,01:30,Deportes Iquique,Deportes Temuco,55,13,32,60,40,34,66,FST,68.0,87.0,45.0,49
25/07/26,17:30,Santiago Wanderers,Union San Felipe,74,7,19,36,64,65,35,FST,81.0,93.0,26.0,80
25/07/26,20:00,Curico Unido,San Luis,70,8,22,63,37,37,63,FST,78.0,92.0,30.0,52
25/07/26,22:30,Cobreloa,Deportes Santa Cruz,72,9,19,37,63,61,39,FST,81.0,91.0,28.0,76
25/07/26,01:30,Colo Colo,Deportes Limache,72,12,16,33,67,64,36,FST,84.0,88.0,28.0,79
25/07/26,20:00,Coquimbo Unido,Universidad de Concepcion,78,9,13,64,36,33,67,FST,87.0,91.0,22.0,48
